Date,Adj Close Chevron stock,Adj Close Exxonmobil stock,Price S&P Oil,Price treasury,Price WTI crude oil,,
01-07-2015,67.404968,56.47995,"6,635.50",2.381,58.33,,
02-07-2015,67.250641,57.007927,"6,821.20",2.39,59.47,,
06-07-2015,66.479027,56.589676,"6,565.70",2.36,56.96,,
07-07-2015,66.829758,56.8228,"6,703.70",2.309,56.93,,
08-07-2015,65.630241,56.205688,"6,627.10",2.32,55.52,,
09-07-2015,65.784576,55.951973,"6,668.00",2.334,52.53,,
10-07-2015,66.226479,56.377113,"6,873.10",2.261,52.36,,
13-07-2015,66.359764,56.514248,"6,607.10",2.374,51.53,,
14-07-2015,67.026169,56.987358,"6,528.50",2.414,52.78,,
15-07-2015,66.107239,56.747368,"6,351.30",2.373,52.72,,
16-07-2015,66.275612,56.850231,"6,126.20",2.412,52.19,,
17-07-2015,65.342621,56.644524,"6,158.30",2.474,53,,
20-07-2015,65.195328,56.061695,"6,036.90",2.328,51.42,,
21-07-2015,65.868721,55.993118,"6,040.50",2.349,50.92,,
22-07-2015,65.595154,56.082249,"5,856.90",2.427,50.89,,
23-07-2015,65.195328,55.636547,"5,683.10",2.386,50.15,,
24-07-2015,63.553867,54.813721,"5,900.60",2.29,50.59,,
27-07-2015,62.52969,54.347462,"6,057.40",2.255,49.27,,
28-07-2015,64.816505,56.555378,"5,963.60",2.197,48.45,,
29-07-2015,65.412788,57.007927,"5,826.30",2.317,48.14,,
30-07-2015,65.258453,56.918793,"5,637.80",2.401,47.39,,
31-07-2015,62.066738,54.313183,"5,641.00",2.446,47.91,,
03-08-2015,60.046478,53.524639,"5,569.80",2.397,48.77,,
04-08-2015,59.772896,52.914391,"5,820.20",2.356,48.52,,
05-08-2015,58.94516,52.914391,"5,639.90",2.356,47.13,,
06-08-2015,59.758869,53.5452,"6,027.60",2.347,45.17,,
07-08-2015,58.748737,52.681252,"6,005.00",2.347,45.74,,
10-08-2015,60.249889,53.997768,"6,157.40",2.38,45.15,,
11-08-2015,60.172729,53.630955,"5,985.10",2.331,44.66,,
12-08-2015,60.881233,54.530674,"5,935.60",2.327,43.91,,
13-08-2015,60.221848,54.433796,"5,920.70",2.269,44.96,,
14-08-2015,60.320042,54.233086,"5,941.50",2.262,43.1,,
17-08-2015,59.119617,54.516853,"5,715.90",2.216,43.24,,
18-08-2015,59.268787,53.914707,"5,565.50",2.25,42.21,,
19-08-2015,57.471668,52.758907,"5,355.60",2.289,42.33,,
20-08-2015,56.285446,51.610004,"5,044.40",2.257,41.8,,
21-08-2015,53.813564,49.921288,"4,968.20",2.187,42.62,,
24-08-2015,51.228004,47.561218,"5,114.00",2.15,40.77,,
25-08-2015,49.736332,47.554298,"5,453.80",2.223,40.94,,
26-08-2015,51.917007,50.177368,"5,634.20",2.27,40.4,,
27-08-2015,55.148956,51.803806,"5,795.10",2.227,38.24,,
28-08-2015,57.130737,51.956066,"5,480.50",2.166,39.32,,
31-08-2015,57.528507,52.07373,"5,555.80",2.232,38.67,,
01-09-2015,55.539635,49.886692,"5,590.60",2.143,42.4,,
02-09-2015,55.447266,50.682598,"5,483.60",2.148,45.22,,
03-09-2015,55.589348,51.070187,"5,575.90",2.189,49.07,,
04-09-2015,54.459942,50.149689,"5,427.90",2.201,45.49,,
08-09-2015,54.580704,50.869465,"5,478.20",2.17,46.25,,
09-09-2015,53.216877,49.831314,"5,369.30",2.192,46.82,,
10-09-2015,53.742523,50.191193,"5,243.40",2.129,46.05,,
11-09-2015,53.834873,50.308861,"5,332.60",2.073,45.89,,
14-09-2015,53.820656,50.170448,"5,587.40",2.045,44.15,,
15-09-2015,54.815094,50.426529,"5,558.80",2.012,45.92,,
16-09-2015,56.129177,51.423145,"5,345.40",2.078,44.63,,
17-09-2015,56.406208,51.533871,"5,353.00",2.18,44.05,,
18-09-2015,55.219978,50.301937,"5,274.60",2.191,44.59,,
21-09-2015,55.468575,50.793339,"5,120.40",2.184,47.15,,
22-09-2015,54.871922,50.343468,"5,157.40",2.214,46.9,,
23-09-2015,54.069271,50.038948,"5,092.40",2.159,44.71,,
24-09-2015,54.616207,50.336544,"4,827.60",2.188,46.68,,
25-09-2015,55.19157,50.682598,"4,867.10",2.163,45.83,,
28-09-2015,53.820656,50.246582,"5,001.10",2.131,44.55,,
29-09-2015,54.161613,50.502655,"5,070.20",2.151,44.91,,
30-09-2015,56.029739,51.457745,"5,367.80",2.186,45.7,,
01-10-2015,55.646172,51.25705,"5,642.70",2.195,44.45,,
02-10-2015,57.926296,52.51667,"5,930.70",2.227,45.23,,
05-10-2015,59.687874,53.160336,"5,955.00",2.187,45.07,,
06-10-2015,61.79039,53.907799,"6,176.80",2.183,44.74,,
07-10-2015,62.593063,54.814438,"6,077.90",2.292,45.54,,
08-10-2015,63.864532,55.388893,"5,866.50",2.296,46.33,,
09-10-2015,63.62302,54.855968,"5,744.80",2.192,48.52,,
12-10-2015,63.033466,54.883652,"5,809.30",2.134,47.94,,
13-10-2015,62.777744,54.78677,"5,971.70",2.199,49.46,,
14-10-2015,63.757961,55.478874,"5,996.30",2.132,49.64,,
15-10-2015,64.439873,56.392448,"5,774.10",2.151,47.1,,
16-10-2015,64.84478,57.084538,"5,821.90",2.128,46.68,,
19-10-2015,63.94976,56.053303,"5,625.70",2.166,46.61,,
20-10-2015,63.921364,55.942577,"5,657.20",2.098,46.4,,
21-10-2015,63.452518,55.513477,"5,642.00",2.06,47.28,,
22-10-2015,65.079178,57.368298,"5,483.60",2.035,45.89,,
23-10-2015,64.809265,57.430588,"5,324.70",2.042,45.84,,
26-10-2015,63.05476,56.212505,"5,518.20",1.991,45.23,,
27-10-2015,62.294746,56.12252,"5,567.50",1.991,45.38,,
28-10-2015,63.779289,56.94611,"5,645.10",2.058,44.6,,
29-10-2015,63.85033,56.911537,"5,781.10",2.035,44.08,,
30-10-2015,64.553528,57.264473,"5,983.10",2.065,43.2,,
